Date - Order Date,Order - Number,Item - SKU,Item - Qty,Item - Name,Amount - Order Total,Amount - Order Tax,Carrier - Service Requested,Date - Ship By Date,
03-08-2026 10:42,18-14325-17366,EBY - 260226 - B0013DVW3C - UKRW - 5,1,Fiamma Water Expansion Tank Acumalator A20,48.93,0,UK_OtherCourier,3/13/2026 4:59:59 PM,48.93
03-08-2026 11:31,200014373227104,WTB - 000000 - 05000328028934 - UKUS - 1,1,"Doritos Cool Original Grab Bag Crisps 48g, Imported from Britain",22.81,0,Value,03-11-2026 20:00,22.81
03-08-2026 11:30,200014210483107,WTB - 000000 - 06181002001715 - UKUS - 1,1,"Maggi Seasoning Bouillon Tablets 60x10g 600g, Imported from Britain",27.75,0,Value,03-09-2026 20:00,27.75
03-08-2026 11:11,203-3498425-7882761,STB - 300126 - B00Y0JLWJA - UKUK - X,1,Very Lazy Smoked Choped Garlic (185g) - Pack of 2,14.98,0,Standard Std UK Dom_1,03-10-2026 17:00,14.98
03-08-2026 11:53,114-2945219-3624212,STB - 131125 - B07GX139X3 - UKUS - 3,1,McVitie's Digestives Milk Chocolate the Caramel One 250g (Pack of 3),26.41,0,FreeEconomy Econ US Dom,03-11-2026 17:00,26.41
03-08-2026 11:37,113-7183699-4608214,STB - 271025 - B0013G4KHO - UKUS - 5,1,Lifeplan Rutin 60mg 300 Tablets,36.09,2.67,FreeEconomy Econ US Dom,3/13/2026 5:00:00 PM,33.42
03-08-2026 11:28,111-5715989-4345806,STB - 271025 - B00BHFB4U2 - UKUS - 3,2,Jacob's Gems Iced 6 x 25g,36.98,0,FreeEconomy Econ US Dom,03-11-2026 17:00,36.98
03-08-2026 11:18,114-7985620-7715453,STB - 041125 - B01DY6LI8E - UK-US - 3,1,Clearspring Organic Soya Mince 250g,23.27,0,FreeEconomy Econ US Dom,03-11-2026 17:00,23.27
03-08-2026 11:13,113-5912846-0003459,STB - 091225 - B07L1X3S8Q - UKUS - X,2,Benedicta Mayonnaise Comme à la Maison 255g,55.78,0,FreeEconomy Econ US Dom,3/13/2026 5:00:00 PM,55.78
03-08-2026 11:01,114-3060233-7496268,STB - 040126 - B00XL3WLL4 - UKUS - X,1,"Salter Dietary Mechanical Kitchen Scales - 500g Capacity, Weigh in 5g Increments for Precise Portion Control, Scale Fits Inside Pan, Compact + Ideal for Travel, 15 Year Guarantee - White",41.2,3.12,FreeEconomy Econ US Dom,3/20/2026 5:00:00 PM,38.08
